,Date,Outward,Return
0,2020-01-15 00:00:00,42439,34394
1,2020-01-16 00:00:00,39051,36745
2,2020-01-17 00:00:00,36762,26773
3,2020-01-18 00:00:00,40448,28321
4,2020-01-19 00:00:00,37929,24472
5,2020-01-20 00:00:00,41583,22937
6,2020-01-21 00:00:00,48515,22937
7,2020-01-22 00:00:00,44311,24440
8,2020-01-23 00:00:00,40789,22937
9,2020-01-24 00:00:00,39666,24472
10,2020-01-25 00:00:00,49537,26773
11,2020-01-26 00:00:00,36670,22921
12,2020-01-27 00:00:00,32291,24360
13,2020-01-28 00:00:00,33410,22937
14,2020-01-29 00:00:00,29337,24389
15,2020-01-30 00:00:00,32176,22937
16,2020-01-31 00:00:00,33410,24245
17,2020-02-01 00:00:00,35860,25832
18,2020-02-02 00:00:00,31088,63732
19,2020-02-03 00:00:00,30011,24332
20,2020-02-04 00:00:00,25790,24470
21,2020-02-05 00:00:00,27111,22937
22,2020-02-06 00:00:00,31950,24319
23,2020-02-07 00:00:00,49058,24335
24,2020-02-08 00:00:00,50401,22937
25,2020-02-09 00:00:00,29372,26137
26,2020-02-10 00:00:00,30116,25813
27,2020-02-11 00:00:00,33187,36382
28,2020-02-12 00:00:00,45045,25067
29,2020-02-13 00:00:00,29390,25615
30,2020-02-14 00:00:00,30116,25644
31,2020-02-15 00:00:00,40175,36373
32,2020-02-16 00:00:00,32302,27197
33,2020-02-17 00:00:00,27799,22937
34,2020-02-18 00:00:00,26750,23486
35,2020-02-19 00:00:00,36350,22937
36,2020-02-20 00:00:00,374240,22937
37,2020-02-21 00:00:00,45079,24440
38,2020-02-22 00:00:00,49713,22937
39,2020-02-23 00:00:00,25749,25067
40,2020-02-24 00:00:00,26473,37841
41,2020-02-25 00:00:00,29422,26020
42,2020-02-26 00:00:00,32618,22937
43,2020-02-27 00:00:00,21607,24235
44,2020-02-28 00:00:00,21628,24472
45,2020-02-29 00:00:00,23233,33452
46,2020-03-01 00:00:00,22457,24472
47,2020-03-02 00:00:00,21395,23516
48,2020-03-03 00:00:00,23562,22921
49,2020-03-04 00:00:00,32291,26113
50,2020-03-05 00:00:00,22982,25519
51,2020-03-06 00:00:00,36147,27819
52,2020-03-07 00:00:00,29519,27439
53,2020-03-08 00:00:00,26057,24790
54,2020-03-09 00:00:00,24024,34280
55,2020-03-10 00:00:00,23843,22937
56,2020-03-11 00:00:00,23470,225018
57,2020-03-12 00:00:00,21697,42818
58,2020-03-13 00:00:00,22208,25127
59,2020-03-14 00:00:00,23797,22937
60,2020-03-15 00:00:00,21766,22937
61,2020-03-16 00:00:00,22287,25067
62,2020-03-17 00:00:00,22314,23516
63,2020-03-18 00:00:00,39054,63484
64,2020-03-19 00:00:00,44319,25158
65,2020-03-20 00:00:00,23918,24389
66,2020-03-21 00:00:00,21790,25150
67,2020-03-22 00:00:00,21893,75790
68,2020-03-23 00:00:00,22510,46002
69,2020-03-24 00:00:00,21893,47390
70,2020-03-25 00:00:00,59975,36745
71,2020-03-26 00:00:00,31009,26736
72,2020-03-27 00:00:00,23402,89083
73,2020-03-28 00:00:00,23843,46032
74,2020-03-29 00:00:00,21766,63595
75,2020-03-30 00:00:00,22576,46138
76,2020-03-31 00:00:00,22483,98439
77,2020-04-01 00:00:00,22233,73924
78,2020-04-02 00:00:00,27188,32887
79,2020-04-03 00:00:00,28300,41360
80,2020-04-04 00:00:00,22314,85354
81,2020-04-05 00:00:00,21628,32909
82,2020-04-06 00:00:00,23389,26692
83,2020-04-07 00:00:00,21600,24164
84,2020-04-08 00:00:00,65012,22921
85,2020-04-09 00:00:00,23430,25141
86,2020-04-10 00:00:00,23394,25095
87,2020-04-11 00:00:00,22193,24381
88,2020-04-12 00:00:00,28460,
89,2020-04-13 00:00:00,26960,25090
90,2020-04-14 00:00:00,22863,56577
91,2020-04-15 00:00:00,23031,22937
92,2020-04-16 00:00:00,24653,41464
93,2020-04-17 00:00:00,26734,43530
94,2020-04-18 00:00:00,22599,22937
95,2020-04-19 00:00:00,,41421
96,2020-04-20 00:00:00,,22921
97,2020-04-21 00:00:00,26734,24362
98,2020-04-22 00:00:00,,23516
99,2020-04-23 00:00:00,22994,41586
100,2020-04-24 00:00:00,23938,30564
101,2020-04-25 00:00:00,21793,22921
102,2020-04-26 00:00:00,27134,
103,2020-04-27 00:00:00,22352,22937
104,2020-04-28 00:00:00,41083,22937
105,2020-04-29 00:00:00,44821,25589
106,2020-04-30 00:00:00,45103,41530
107,2020-05-01 00:00:00,99041,34846
108,2020-05-02 00:00:00,99420,45430
109,2020-05-03 00:00:00,43837,36720
110,2020-05-04 00:00:00,41872,40582
111,2020-05-05 00:00:00,42106,87340
112,2020-05-06 00:00:00,64768,96580
113,2020-05-07 00:00:00,21864,37415
114,2020-05-08 00:00:00,22200,79964
115,2020-05-09 00:00:00,114077,37627
116,2020-05-10 00:00:00,21929,24472
117,2020-05-11 00:00:00,26960,
118,2020-05-12 00:00:00,26857,
119,2020-05-13 00:00:00,21740,30224
120,2020-05-14 00:00:00,64844,39289
121,2020-05-15 00:00:00,22670,22937
122,2020-05-16 00:00:00,,
123,2020-05-17 00:00:00,75360,32216
124,2020-05-18 00:00:00,100337,22921
125,2020-05-19 00:00:00,22976,22891
126,2020-05-20 00:00:00,21697,48433
127,2020-05-21 00:00:00,64992,
128,2020-05-22 00:00:00,26722,16230
129,2020-05-23 00:00:00,96892,16230
130,2020-05-24 00:00:00,26722,41780
131,2020-05-25 00:00:00,,22921
132,2020-05-26 00:00:00,,
133,2020-05-27 00:00:00,,25141
134,2020-05-28 00:00:00,,41128
135,2020-05-29 00:00:00,24173,
136,2020-05-30 00:00:00,,
137,2020-05-31 00:00:00,26801,
138,2020-06-01 00:00:00,22562,60153
139,2020-06-02 00:00:00,65259,
140,2020-06-03 00:00:00,64759,22937
141,2020-06-04 00:00:00,96338,41530
142,2020-06-05 00:00:00,23009,38030
143,2020-06-06 00:00:00,24702,22930
144,2020-06-07 00:00:00,64705,
145,2020-06-08 00:00:00,,22937
146,2020-06-09 00:00:00,53084,41075
147,2020-06-10 00:00:00,21760,49462
148,2020-06-11 00:00:00,,
149,2020-06-12 00:00:00,21740,
150,2020-06-13 00:00:00,21790,44941
151,2020-06-14 00:00:00,26756,41598
152,2020-06-15 00:00:00,64705,
153,2020-06-16 00:00:00,,22937
154,2020-06-17 00:00:00,96892,22937
155,2020-06-18 00:00:00,65179,39207
156,2020-06-19 00:00:00,22581,22937
157,2020-06-20 00:00:00,22488,22937
158,2020-06-21 00:00:00,26817,22937
159,2020-06-22 00:00:00,21600,22937
160,2020-06-23 00:00:00,23420,24331
161,2020-06-24 00:00:00,22542,24351
162,2020-06-25 00:00:00,44707,46081
163,2020-06-26 00:00:00,22555,24332
164,2020-06-27 00:00:00,21780,22921
165,2020-06-28 00:00:00,21906,24576
166,2020-06-29 00:00:00,21697,24335
167,2020-06-30 00:00:00,22480,24440
168,2020-07-01 00:00:00,22478,22937
169,2020-07-02 00:00:00,21647,22921
170,2020-07-03 00:00:00,75278,22884
171,2020-07-04 00:00:00,28224,
172,2020-07-05 00:00:00,,22930
173,2020-07-06 00:00:00,21647,25720
174,2020-07-07 00:00:00,26734,24410
175,2020-07-08 00:00:00,105854,25596
176,2020-07-09 00:00:00,26725,25582
177,2020-07-10 00:00:00,22976,25582
178,2020-07-11 00:00:00,26734,25582
179,2020-07-12 00:00:00,26960,25582
180,2020-07-13 00:00:00,65100,26720
181,2020-07-14 00:00:00,22984,22930
182,2020-07-15 00:00:00,22664,26721
183,2020-07-16 00:00:00,26801,22908
184,2020-07-17 00:00:00,100590,26721
185,2020-07-18 00:00:00,,26682
186,2020-07-19 00:00:00,,22930
187,2020-07-20 00:00:00,26960,32887
188,2020-07-21 00:00:00,28460,22921
189,2020-07-22 00:00:00,73034,
190,2020-07-23 00:00:00,83441,
191,2020-07-24 00:00:00,30732,
192,2020-07-25 00:00:00,50696,24472
193,2020-07-26 00:00:00,,56623
194,2020-07-27 00:00:00,24691,25940
195,2020-07-28 00:00:00,,22937
196,2020-07-29 00:00:00,22976,22937
197,2020-07-30 00:00:00,75532,22937
198,2020-07-31 00:00:00,74719,22937
199,2020-08-01 00:00:00,32476,22937
200,2020-08-02 00:00:00,,
201,2020-08-03 00:00:00,24715,22937
202,2020-08-04 00:00:00,98535,
203,2020-08-05 00:00:00,30842,
204,2020-08-06 00:00:00,,22891
205,2020-08-07 00:00:00,96690,85330
206,2020-08-08 00:00:00,80459,30215
207,2020-08-09 00:00:00,,51200
208,2020-08-10 00:00:00,233767,59275
209,2020-08-11 00:00:00,90460,59275
210,2020-08-12 00:00:00,50545,101650
211,2020-08-13 00:00:00,34460,51321
212,2020-08-14 00:00:00,101483,87184
213,2020-08-15 00:00:00,,58225
214,2020-08-16 00:00:00,34329,70079
215,2020-08-17 00:00:00,21887,76780
216,2020-08-18 00:00:00,,65233
217,2020-08-19 00:00:00,73354,71064
218,2020-08-20 00:00:00,64768,26773
219,2020-08-21 00:00:00,64705,25508
220,2020-08-22 00:00:00,,29343
221,2020-08-23 00:00:00,53196,59607
222,2020-08-24 00:00:00,26857,22879
223,2020-08-25 00:00:00,64705,22921
224,2020-08-26 00:00:00,,
225,2020-08-27 00:00:00,,59493
226,2020-08-28 00:00:00,26857,
227,2020-08-29 00:00:00,,41257
228,2020-08-30 00:00:00,376086,63567
229,2020-08-31 00:00:00,26725,
230,2020-09-01 00:00:00,25821,41583
231,2020-09-02 00:00:00,22091,24423
232,2020-09-03 00:00:00,65259,
233,2020-09-04 00:00:00,,17463
234,2020-09-05 00:00:00,,16280
235,2020-09-06 00:00:00,,
236,2020-09-07 00:00:00,26960,
237,2020-09-08 00:00:00,30842,16576
