WEO Country Code,ISO,WEO Subject Code,Subject Descriptor,Units,Scale,2019
512,AFG,NGDP_R,"Gross domestic product, constant prices",National currency,Billions,535.479
512,AFG,NGDP_RPCH,"Gross domestic product, constant prices",Percent change,,3
512,AFG,NGDP,"Gross domestic product, current prices",National currency,Billions,"1,502.47"
512,AFG,NGDPD,"Gross domestic product, current prices",U.S. dollars,Billions,18.734
512,AFG,PPPGDP,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,76.486
512,AFG,NGDP_D,"Gross domestic product, deflator",Index,,280.585
512,AFG,NGDPRPC,"Gross domestic product per capita, constant prices",National currency,Units,"14,666.64"
512,AFG,NGDPRPPPPC,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"1,828.93"
512,AFG,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,"41,152.37"
512,AFG,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,513.108
512,AFG,PPPPC,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,094.93"
512,AFG,PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.054
512,AFG,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,19.644
512,AFG,NID_NGDP,Total investment,Percent of GDP,,17.378
512,AFG,NGSD_NGDP,Gross national savings,Percent of GDP,,19.248
512,AFG,PCPI,"Inflation, average consumer prices",Index,,114.583
512,AFG,PCPIPCH,"Inflation, average consumer prices",Percent change,,2.587
512,AFG,PCPIE,"Inflation, end of period consumer prices",Index,,118.255
512,AFG,PCPIEPCH,"Inflation, end of period consumer prices",Percent change,,4.5
512,AFG,TM_RPCH,Volume of imports of goods and services,Percent change,,4.018
512,AFG,TMG_RPCH,Volume of Imports of goods,Percent change,,3.808
512,AFG,TX_RPCH,Volume of exports of goods and services,Percent change,,-17.605
512,AFG,TXG_RPCH,Volume of exports of goods,Percent change,,8.994
512,AFG,LP,Population,Persons,Millions,36.51
512,AFG,GGR,General government revenue,National currency,Billions,412.088
512,AFG,GGR_NGDP,General government revenue,Percent of GDP,,27.427
512,AFG,GGX,General government total expenditure,National currency,Billions,423.881
