,Date,Outward,Return
0,2020-01-15 00:00:00,71980,46413
1,2020-01-16 00:00:00,96530,56925
2,2020-01-17 00:00:00,118473,41934
3,2020-01-18 00:00:00,71976,60759
4,2020-01-19 00:00:00,176730,38306
5,2020-01-20 00:00:00,71142,30080
6,2020-01-21 00:00:00,176730,50818
7,2020-01-22 00:00:00,176730,29895
8,2020-01-23 00:00:00,64821,60759
9,2020-01-24 00:00:00,137129,30111
10,2020-01-25 00:00:00,68947,37393
11,2020-01-26 00:00:00,137129,61020
12,2020-01-27 00:00:00,120830,30113
13,2020-01-28 00:00:00,120830,30142
14,2020-01-29 00:00:00,52191,51225
15,2020-01-30 00:00:00,120830,30080
16,2020-01-31 00:00:00,120830,63013
17,2020-02-01 00:00:00,51913,31299
18,2020-02-02 00:00:00,96830,53140
19,2020-02-03 00:00:00,47730,29611
20,2020-02-04 00:00:00,41116,28880
21,2020-02-05 00:00:00,48731,28777
22,2020-02-06 00:00:00,96020,28810
23,2020-02-07 00:00:00,52976,31629
24,2020-02-08 00:00:00,43620,32465
25,2020-02-09 00:00:00,106820,52839
26,2020-02-10 00:00:00,41430,31400
27,2020-02-11 00:00:00,96020,28932
28,2020-02-12 00:00:00,40861,28964
29,2020-02-13 00:00:00,79460,28808
30,2020-02-14 00:00:00,80130,28691
31,2020-02-15 00:00:00,120830,56443
32,2020-02-16 00:00:00,41316,30719
33,2020-02-17 00:00:00,80130,28849
34,2020-02-18 00:00:00,60830,28777
35,2020-02-19 00:00:00,68830,28777
36,2020-02-20 00:00:00,80130,28932
37,2020-02-21 00:00:00,80130,30478
38,2020-02-22 00:00:00,96830,29955
39,2020-02-23 00:00:00,68402,30562
40,2020-02-24 00:00:00,32740,50986
41,2020-02-25 00:00:00,54867,28880
42,2020-02-26 00:00:00,40776,28849
43,2020-02-27 00:00:00,31570,30992
44,2020-02-28 00:00:00,34499,29955
45,2020-02-29 00:00:00,68354,54719
46,2020-03-01 00:00:00,33804,30620
47,2020-03-02 00:00:00,54867,31856
48,2020-03-03 00:00:00,34658,30080
49,2020-03-04 00:00:00,55593,28880
50,2020-03-05 00:00:00,35431,28717
51,2020-03-06 00:00:00,35601,30609
52,2020-03-07 00:00:00,60830,30111
53,2020-03-08 00:00:00,41470,30144
54,2020-03-09 00:00:00,33061,50876
55,2020-03-10 00:00:00,55330,50986
56,2020-03-11 00:00:00,54867,57110
57,2020-03-12 00:00:00,32897,31247
58,2020-03-13 00:00:00,32047,29986
59,2020-03-14 00:00:00,55330,30113
60,2020-03-15 00:00:00,54867,61261
61,2020-03-16 00:00:00,29660,56996
62,2020-03-17 00:00:00,31669,30060
63,2020-03-18 00:00:00,30740,29669
64,2020-03-19 00:00:00,54330,34850
65,2020-03-20 00:00:00,54330,63585
66,2020-03-21 00:00:00,30533,71347
67,2020-03-22 00:00:00,53939,36054
68,2020-03-23 00:00:00,30035,33322
69,2020-03-24 00:00:00,53927,32109
70,2020-03-25 00:00:00,53875,30681
71,2020-03-26 00:00:00,31574,40739
72,2020-03-27 00:00:00,29740,41650
73,2020-03-28 00:00:00,32962,45496
74,2020-03-29 00:00:00,109297,326856
75,2020-03-30 00:00:00,108009,326527
76,2020-03-31 00:00:00,27775,325222
77,2020-04-01 00:00:00,104926,31332
78,2020-04-02 00:00:00,32783,42272
79,2020-04-03 00:00:00,32485,70165
80,2020-04-04 00:00:00,30612,70243
81,2020-04-05 00:00:00,35061,62052
82,2020-04-06 00:00:00,105729,34828
83,2020-04-07 00:00:00,126127,30992
84,2020-04-08 00:00:00,32402,34784
85,2020-04-09 00:00:00,36914,87178
86,2020-04-10 00:00:00,32924,269820
87,2020-04-11 00:00:00,566437,62810
88,2020-04-12 00:00:00,50189,29856
89,2020-04-13 00:00:00,36030,31821
90,2020-04-14 00:00:00,33588,60759
91,2020-04-15 00:00:00,563013,27388
92,2020-04-16 00:00:00,32833,60253
93,2020-04-17 00:00:00,269176,56129
94,2020-04-18 00:00:00,561524,56194
95,2020-04-19 00:00:00,34811,27560
96,2020-04-20 00:00:00,31306,27646
97,2020-04-21 00:00:00,123654,27482
98,2020-04-22 00:00:00,107068,48256
99,2020-04-23 00:00:00,92817,29611
100,2020-04-24 00:00:00,133695,62792
101,2020-04-25 00:00:00,35938,58862
102,2020-04-26 00:00:00,44827,30884
103,2020-04-27 00:00:00,32640,28281
104,2020-04-28 00:00:00,47923,28281
105,2020-04-29 00:00:00,39288,62834
106,2020-04-30 00:00:00,50276,60759
107,2020-05-01 00:00:00,143616,30260
108,2020-05-02 00:00:00,151388,29611
109,2020-05-03 00:00:00,113184,41015
110,2020-05-04 00:00:00,29589,86331
111,2020-05-05 00:00:00,267919,48301
112,2020-05-06 00:00:00,107989,91149
113,2020-05-07 00:00:00,97466,74250
114,2020-05-08 00:00:00,97466,30017
115,2020-05-09 00:00:00,30692,75047
116,2020-05-10 00:00:00,31306,56290
117,2020-05-11 00:00:00,194246,56384
118,2020-05-12 00:00:00,189838,56630
119,2020-05-13 00:00:00,94684,30448
120,2020-05-14 00:00:00,30555,62834
121,2020-05-15 00:00:00,30035,30358
122,2020-05-16 00:00:00,94662,62792
123,2020-05-17 00:00:00,94684,60159
124,2020-05-18 00:00:00,23367,62792
125,2020-05-19 00:00:00,33758,28383
126,2020-05-20 00:00:00,32410,26846
127,2020-05-21 00:00:00,99197,63088
128,2020-05-22 00:00:00,96647,34728
129,2020-05-23 00:00:00,33353,62861
130,2020-05-24 00:00:00,36549,56129
131,2020-05-25 00:00:00,36635,56129
132,2020-05-26 00:00:00,274054,58862
133,2020-05-27 00:00:00,38574,27512
134,2020-05-28 00:00:00,94633,56384
135,2020-05-29 00:00:00,27327,29174
136,2020-05-30 00:00:00,272768,56384
137,2020-05-31 00:00:00,274054,27515
138,2020-06-01 00:00:00,31561,29000
139,2020-06-02 00:00:00,98730,56468
140,2020-06-03 00:00:00,59626,28991
141,2020-06-04 00:00:00,36167,28932
142,2020-06-05 00:00:00,,34495
143,2020-06-06 00:00:00,99202,66460
144,2020-06-07 00:00:00,274315,29235
145,2020-06-08 00:00:00,98428,58862
146,2020-06-09 00:00:00,274054,56194
147,2020-06-10 00:00:00,31561,60759
148,2020-06-11 00:00:00,274054,60759
149,2020-06-12 00:00:00,97080,29267
150,2020-06-13 00:00:00,96740,32794
151,2020-06-14 00:00:00,270161,58787
152,2020-06-15 00:00:00,39770,
153,2020-06-16 00:00:00,37232,56612
154,2020-06-17 00:00:00,31561,61631
155,2020-06-18 00:00:00,30910,58787
156,2020-06-19 00:00:00,29610,62792
157,2020-06-20 00:00:00,37257,60759
158,2020-06-21 00:00:00,36139,60500
159,2020-06-22 00:00:00,94751,26417
160,2020-06-23 00:00:00,23664,28691
161,2020-06-24 00:00:00,94862,27397
162,2020-06-25 00:00:00,118307,56129
163,2020-06-26 00:00:00,29917,56612
164,2020-06-27 00:00:00,33272,56612
165,2020-06-28 00:00:00,33830,56998
166,2020-06-29 00:00:00,33243,43790
167,2020-06-30 00:00:00,94664,30992
168,2020-07-01 00:00:00,95461,60760
169,2020-07-02 00:00:00,34120,30992
170,2020-07-03 00:00:00,93023,30121
171,2020-07-04 00:00:00,95171,58676
172,2020-07-05 00:00:00,95171,55438
173,2020-07-06 00:00:00,274054,34368
174,2020-07-07 00:00:00,274054,27714
175,2020-07-08 00:00:00,40711,27368
176,2020-07-09 00:00:00,274279,28981
177,2020-07-10 00:00:00,37586,
178,2020-07-11 00:00:00,124964,30237
179,2020-07-12 00:00:00,124964,33051
