,Date,Outward,Return
0,2020-01-15 00:00:00,119329,34431
1,2020-01-16 00:00:00,117973,96528
2,2020-01-17 00:00:00,53655,95772
3,2020-01-18 00:00:00,55033,89429
4,2020-01-19 00:00:00,157105,33589
5,2020-01-20 00:00:00,57954,30479
6,2020-01-21 00:00:00,62997,98352
7,2020-01-22 00:00:00,58140,31932
8,2020-01-23 00:00:00,160905,86723
9,2020-01-24 00:00:00,61896,98808
10,2020-01-25 00:00:00,283123,35300
11,2020-01-26 00:00:00,93886,38743
12,2020-01-27 00:00:00,59705,91860
13,2020-01-28 00:00:00,87330,92271
14,2020-01-29 00:00:00,58700,94780
15,2020-01-30 00:00:00,179747,30261
16,2020-01-31 00:00:00,54497,32977
17,2020-02-01 00:00:00,51456,127305
18,2020-02-02 00:00:00,183175,100852
19,2020-02-03 00:00:00,53928,128324
20,2020-02-04 00:00:00,150496,94248
21,2020-02-05 00:00:00,264093,32812
22,2020-02-06 00:00:00,149630,101279
23,2020-02-07 00:00:00,337046,33701
24,2020-02-08 00:00:00,46991,34250
25,2020-02-09 00:00:00,65321,33634
26,2020-02-10 00:00:00,44325,33631
27,2020-02-11 00:00:00,156886,31623
28,2020-02-12 00:00:00,361958,94256
29,2020-02-13 00:00:00,47316,34223
30,2020-02-14 00:00:00,36799,126839
31,2020-02-15 00:00:00,301343,30261
32,2020-02-16 00:00:00,168484,94256
33,2020-02-17 00:00:00,383948,94808
34,2020-02-18 00:00:00,156162,33567
35,2020-02-19 00:00:00,337046,87806
36,2020-02-20 00:00:00,35951,35910
37,2020-02-21 00:00:00,41728,98888
38,2020-02-22 00:00:00,38416,35901
39,2020-02-23 00:00:00,348525,93571
40,2020-02-24 00:00:00,36858,32070
41,2020-02-25 00:00:00,43297,33996
42,2020-02-26 00:00:00,156162,35070
43,2020-02-27 00:00:00,106561,94354
44,2020-02-28 00:00:00,157181,126640
45,2020-02-29 00:00:00,279579,90234
46,2020-03-01 00:00:00,127679,29895
47,2020-03-02 00:00:00,151864,30300
48,2020-03-03 00:00:00,43203,77025
49,2020-03-04 00:00:00,32598,77201
50,2020-03-05 00:00:00,60424,86115
51,2020-03-06 00:00:00,151864,37255
52,2020-03-07 00:00:00,156238,45876
53,2020-03-08 00:00:00,103292,78591
54,2020-03-09 00:00:00,104737,35980
55,2020-03-10 00:00:00,104564,33574
56,2020-03-11 00:00:00,102942,73978
57,2020-03-12 00:00:00,34997,74206
58,2020-03-13 00:00:00,104565,33690
59,2020-03-14 00:00:00,43060,74714
60,2020-03-15 00:00:00,103713,33081
61,2020-03-16 00:00:00,42064,75799
62,2020-03-17 00:00:00,43750,31825
63,2020-03-18 00:00:00,101514,75651
64,2020-03-19 00:00:00,101313,76183
65,2020-03-20 00:00:00,61400,32910
66,2020-03-21 00:00:00,31297,48891
67,2020-03-22 00:00:00,101054,127202
68,2020-03-23 00:00:00,105851,94354
69,2020-03-24 00:00:00,55591,74582
70,2020-03-25 00:00:00,26068,76083
71,2020-03-26 00:00:00,26247,31518
72,2020-03-27 00:00:00,43344,76614
73,2020-03-28 00:00:00,26247,81686
74,2020-03-29 00:00:00,31297,81741
75,2020-03-30 00:00:00,105966,89018
76,2020-03-31 00:00:00,29118,40003
77,2020-04-01 00:00:00,30959,78210
78,2020-04-02 00:00:00,43860,76259
79,2020-04-03 00:00:00,32598,87483
80,2020-04-04 00:00:00,29297,77777
81,2020-04-05 00:00:00,106003,76638
82,2020-04-06 00:00:00,31150,35180
83,2020-04-07 00:00:00,106003,39003
84,2020-04-08 00:00:00,28610,90751
85,2020-04-09 00:00:00,46091,31717
86,2020-04-10 00:00:00,30057,94439
87,2020-04-11 00:00:00,29956,31717
88,2020-04-12 00:00:00,48801,84367
89,2020-04-13 00:00:00,101211,30566
90,2020-04-14 00:00:00,102153,66125
91,2020-04-15 00:00:00,30147,65875
92,2020-04-16 00:00:00,31768,33574
93,2020-04-17 00:00:00,360303,65958
94,2020-04-18 00:00:00,30150,66119
95,2020-04-19 00:00:00,114465,30057
96,2020-04-20 00:00:00,32052,63497
97,2020-04-21 00:00:00,372075,23238
98,2020-04-22 00:00:00,241090,36975
99,2020-04-23 00:00:00,121379,62987
100,2020-04-24 00:00:00,35922,32217
101,2020-04-25 00:00:00,32598,63028
102,2020-04-26 00:00:00,52818,28740
103,2020-04-27 00:00:00,36432,64448
104,2020-04-28 00:00:00,68725,64643
105,2020-04-29 00:00:00,129138,64705
106,2020-04-30 00:00:00,,64985
107,2020-05-01 00:00:00,49149,33332
108,2020-05-02 00:00:00,153709,77750
109,2020-05-03 00:00:00,47118,47225
110,2020-05-04 00:00:00,39366,46504
111,2020-05-05 00:00:00,43463,103606
112,2020-05-06 00:00:00,105609,93890
113,2020-05-07 00:00:00,43463,35074
114,2020-05-08 00:00:00,64686,33691
115,2020-05-09 00:00:00,32846,30566
116,2020-05-10 00:00:00,37297,94338
117,2020-05-11 00:00:00,20250,35419
118,2020-05-12 00:00:00,104604,63618
119,2020-05-13 00:00:00,20500,31504
120,2020-05-14 00:00:00,39731,63769
121,2020-05-15 00:00:00,31532,63157
122,2020-05-16 00:00:00,26247,29237
123,2020-05-17 00:00:00,46015,29549
124,2020-05-18 00:00:00,24272,30433
125,2020-05-19 00:00:00,106089,64985
126,2020-05-20 00:00:00,30209,32357
127,2020-05-21 00:00:00,371654,64681
128,2020-05-22 00:00:00,34611,33582
129,2020-05-23 00:00:00,34020,39407
130,2020-05-24 00:00:00,,36220
131,2020-05-25 00:00:00,32598,62063
132,2020-05-26 00:00:00,48801,37532
133,2020-05-27 00:00:00,32846,70979
134,2020-05-28 00:00:00,34704,30261
135,2020-05-29 00:00:00,104830,31441
136,2020-05-30 00:00:00,106336,71194
137,2020-05-31 00:00:00,107017,38534
138,2020-06-01 00:00:00,105583,77424
139,2020-06-02 00:00:00,34997,36053
140,2020-06-03 00:00:00,33626,33312
141,2020-06-04 00:00:00,,63522
142,2020-06-05 00:00:00,34997,36053
143,2020-06-06 00:00:00,32997,32227
144,2020-06-07 00:00:00,36997,36199
145,2020-06-08 00:00:00,389438,97355
146,2020-06-09 00:00:00,371654,31745
147,2020-06-10 00:00:00,27372,31669
148,2020-06-11 00:00:00,32721,63845
149,2020-06-12 00:00:00,30147,32217
150,2020-06-13 00:00:00,31510,34981
151,2020-06-14 00:00:00,39662,63618
152,2020-06-15 00:00:00,20465,45817
153,2020-06-16 00:00:00,70984,29427
154,2020-06-17 00:00:00,363664,64606
155,2020-06-18 00:00:00,107866,30909
156,2020-06-19 00:00:00,361635,64505
157,2020-06-20 00:00:00,29051,63544
158,2020-06-21 00:00:00,61251,32239
159,2020-06-22 00:00:00,20465,70827
160,2020-06-23 00:00:00,43275,64985
161,2020-06-24 00:00:00,29252,38962
162,2020-06-25 00:00:00,29297,30498
163,2020-06-26 00:00:00,29168,63533
164,2020-06-27 00:00:00,107080,64735
165,2020-06-28 00:00:00,397293,30187
166,2020-06-29 00:00:00,396664,44665
167,2020-06-30 00:00:00,81200,30553
168,2020-07-01 00:00:00,27209,62987
169,2020-07-02 00:00:00,31036,96365
170,2020-07-03 00:00:00,32818,71880
171,2020-07-04 00:00:00,372290,
172,2020-07-05 00:00:00,61189,37395
173,2020-07-06 00:00:00,397248,42777
174,2020-07-07 00:00:00,361635,34566
175,2020-07-08 00:00:00,28330,54131
176,2020-07-09 00:00:00,38547,36505
177,2020-07-10 00:00:00,30209,58919
178,2020-07-11 00:00:00,36353,51126
179,2020-07-12 00:00:00,34989,30166
180,2020-07-13 00:00:00,27106,32238
181,2020-07-14 00:00:00,61251,30569
182,2020-07-15 00:00:00,42914,29247
183,2020-07-16 00:00:00,50662,30709
184,2020-07-17 00:00:00,40208,30909
185,2020-07-18 00:00:00,36271,34822
186,2020-07-19 00:00:00,,54274
187,2020-07-20 00:00:00,33127,54145
188,2020-07-21 00:00:00,36997,30698
189,2020-07-22 00:00:00,30209,47743
190,2020-07-23 00:00:00,,45706
191,2020-07-24 00:00:00,34308,31790
192,2020-07-25 00:00:00,373094,100694
193,2020-07-26 00:00:00,,82059
194,2020-07-27 00:00:00,28460,40142
195,2020-07-28 00:00:00,45613,37470
196,2020-07-29 00:00:00,38603,63300
197,2020-07-30 00:00:00,45613,64681
198,2020-07-31 00:00:00,40096,38894
199,2020-08-01 00:00:00,40096,35323
200,2020-08-02 00:00:00,81152,42436
201,2020-08-03 00:00:00,37362,45800
202,2020-08-04 00:00:00,52818,39702
203,2020-08-05 00:00:00,39203,38127
204,2020-08-06 00:00:00,45361,41719
205,2020-08-07 00:00:00,49116,45479
206,2020-08-08 00:00:00,129305,33246
207,2020-08-09 00:00:00,44399,63496
208,2020-08-10 00:00:00,389076,46697
209,2020-08-11 00:00:00,71170,46024
210,2020-08-12 00:00:00,35025,46909
211,2020-08-13 00:00:00,47118,44635
212,2020-08-14 00:00:00,105786,77419
213,2020-08-15 00:00:00,370020,51710
214,2020-08-16 00:00:00,81081,76839
215,2020-08-17 00:00:00,26247,
216,2020-08-18 00:00:00,88048,32158
217,2020-08-19 00:00:00,25355,63723
218,2020-08-20 00:00:00,87690,32215
219,2020-08-21 00:00:00,29956,30909
220,2020-08-22 00:00:00,30209,51145
221,2020-08-23 00:00:00,29051,
222,2020-08-24 00:00:00,20304,62247
223,2020-08-25 00:00:00,29168,29237
224,2020-08-26 00:00:00,371973,46625
225,2020-08-27 00:00:00,27346,30720
226,2020-08-28 00:00:00,35187,28740
227,2020-08-29 00:00:00,29185,33508
228,2020-08-30 00:00:00,106353,30651
229,2020-08-31 00:00:00,29297,29237
230,2020-09-01 00:00:00,80240,28740
231,2020-09-02 00:00:00,,64810
232,2020-09-03 00:00:00,31946,36010
233,2020-09-04 00:00:00,35074,35918
234,2020-09-05 00:00:00,33486,36975
235,2020-09-06 00:00:00,61648,100902
236,2020-09-07 00:00:00,34415,
237,2020-09-08 00:00:00,259253,36010
238,2020-09-09 00:00:00,33209,44630
239,2020-09-10 00:00:00,108196,36010
240,2020-09-11 00:00:00,40137,34981
241,2020-09-12 00:00:00,35053,36975
242,2020-09-13 00:00:00,61251,35918
243,2020-09-14 00:00:00,106336,37293
244,2020-09-15 00:00:00,28874,100848
245,2020-09-16 00:00:00,359166,32238
246,2020-09-17 00:00:00,26028,83263
247,2020-09-18 00:00:00,36960,31669
248,2020-09-19 00:00:00,118413,37293
249,2020-09-20 00:00:00,104285,31504
250,2020-09-21 00:00:00,34415,
251,2020-09-22 00:00:00,59350,31618
252,2020-09-23 00:00:00,34426,31669
253,2020-09-24 00:00:00,32897,31584
254,2020-09-25 00:00:00,34426,37730
255,2020-09-26 00:00:00,34913,88943
256,2020-09-27 00:00:00,36687,37530
