,Date,Outward,Return
0,2020-01-15 00:00:00,551634,42036
1,2020-01-16 00:00:00,62124,64422
2,2020-01-17 00:00:00,551634,41682
3,2020-01-18 00:00:00,209921,46971
4,2020-01-19 00:00:00,58605,66757
5,2020-01-20 00:00:00,62980,64596
6,2020-01-21 00:00:00,546795,32760
7,2020-01-22 00:00:00,69318,27386
8,2020-01-23 00:00:00,552799,28970
9,2020-01-24 00:00:00,60107,28883
10,2020-01-25 00:00:00,546795,35459
11,2020-01-26 00:00:00,546734,26697
12,2020-01-27 00:00:00,51913,28274
13,2020-01-28 00:00:00,52687,64272
14,2020-01-29 00:00:00,306920,25622
15,2020-01-30 00:00:00,53128,27537
16,2020-01-31 00:00:00,306920,63606
17,2020-02-01 00:00:00,56919,35886
18,2020-02-02 00:00:00,163793,66198
19,2020-02-03 00:00:00,154481,64182
20,2020-02-04 00:00:00,148673,29706
21,2020-02-05 00:00:00,42189,66824
22,2020-02-06 00:00:00,49660,29543
23,2020-02-07 00:00:00,151247,33910
24,2020-02-08 00:00:00,161586,31914
25,2020-02-09 00:00:00,155889,31450
26,2020-02-10 00:00:00,154901,66756
27,2020-02-11 00:00:00,151787,66198
28,2020-02-12 00:00:00,41571,27709
29,2020-02-13 00:00:00,44710,66757
30,2020-02-14 00:00:00,157029,66757
31,2020-02-15 00:00:00,171252,90169
32,2020-02-16 00:00:00,154311,66757
33,2020-02-17 00:00:00,138939,66198
34,2020-02-18 00:00:00,40420,66198
35,2020-02-19 00:00:00,135778,66756
36,2020-02-20 00:00:00,144341,65938
37,2020-02-21 00:00:00,150872,29764
38,2020-02-22 00:00:00,167290,73649
39,2020-02-23 00:00:00,148673,64099
40,2020-02-24 00:00:00,29440,66198
41,2020-02-25 00:00:00,132382,29954
42,2020-02-26 00:00:00,125790,66756
43,2020-02-27 00:00:00,121669,66198
44,2020-02-28 00:00:00,132454,32019
45,2020-02-29 00:00:00,168495,66756
46,2020-03-01 00:00:00,135100,64730
47,2020-03-02 00:00:00,27607,64107
48,2020-03-03 00:00:00,29100,27059
49,2020-03-04 00:00:00,28251,28270
50,2020-03-05 00:00:00,120585,29550
51,2020-03-06 00:00:00,29770,65806
52,2020-03-07 00:00:00,145932,28806
53,2020-03-08 00:00:00,31101,66360
54,2020-03-09 00:00:00,31814,27386
55,2020-03-10 00:00:00,35490,66360
56,2020-03-11 00:00:00,29195,25885
57,2020-03-12 00:00:00,27680,28154
58,2020-03-13 00:00:00,29552,28998
59,2020-03-14 00:00:00,128679,28538
60,2020-03-15 00:00:00,116607,28798
61,2020-03-16 00:00:00,121601,69490
62,2020-03-17 00:00:00,27020,66756
63,2020-03-18 00:00:00,28430,66360
64,2020-03-19 00:00:00,126219,66713
65,2020-03-20 00:00:00,30430,66713
66,2020-03-21 00:00:00,166319,123193
67,2020-03-22 00:00:00,34152,89738
68,2020-03-23 00:00:00,26250,29740
69,2020-03-24 00:00:00,248606,28728
70,2020-03-25 00:00:00,122565,64048
71,2020-03-26 00:00:00,133386,31495
72,2020-03-27 00:00:00,29394,40306
73,2020-03-28 00:00:00,123223,35511
74,2020-03-29 00:00:00,27649,36796
75,2020-03-30 00:00:00,29845,32866
76,2020-03-31 00:00:00,26700,36441
77,2020-04-01 00:00:00,25009,31750
78,2020-04-02 00:00:00,28202,34980
79,2020-04-03 00:00:00,27473,42695
80,2020-04-04 00:00:00,29961,43038
81,2020-04-05 00:00:00,27632,35608
82,2020-04-06 00:00:00,26045,31724
83,2020-04-07 00:00:00,28202,32864
84,2020-04-08 00:00:00,26681,33726
85,2020-04-09 00:00:00,27668,36910
86,2020-04-10 00:00:00,26595,42213
87,2020-04-11 00:00:00,32240,29631
88,2020-04-12 00:00:00,37624,32944
89,2020-04-13 00:00:00,34109,27592
90,2020-04-14 00:00:00,27486,27922
91,2020-04-15 00:00:00,32554,27224
92,2020-04-16 00:00:00,29917,27561
93,2020-04-17 00:00:00,30965,30126
94,2020-04-18 00:00:00,29336,29489
95,2020-04-19 00:00:00,30146,29489
96,2020-04-20 00:00:00,26765,27623
97,2020-04-21 00:00:00,29433,28113
98,2020-04-22 00:00:00,31184,27694
99,2020-04-23 00:00:00,32590,28798
100,2020-04-24 00:00:00,39325,28768
101,2020-04-25 00:00:00,36254,29500
102,2020-04-26 00:00:00,37236,29695
103,2020-04-27 00:00:00,32674,28538
104,2020-04-28 00:00:00,46877,28688
105,2020-04-29 00:00:00,48463,27567
106,2020-04-30 00:00:00,50360,27309
107,2020-05-01 00:00:00,50976,29195
108,2020-05-02 00:00:00,42835,30529
109,2020-05-03 00:00:00,33401,29583
110,2020-05-04 00:00:00,28173,29378
111,2020-05-05 00:00:00,23615,39818
112,2020-05-06 00:00:00,29129,30267
