,Date,Outward,Return
0,2020/1/15 0:00,6813,6870
1,2020/1/16 0:00,6813,6654
2,2020/1/17 0:00,7585,7585
3,2020/1/18 0:00,6654,6614
4,2020/1/19 0:00,6654,8092
5,2020/1/20 0:00,7754,6654
6,2020/1/21 0:00,6813,6670
7,2020/1/22 0:00,6370,6237
8,2020/1/23 0:00,6247,6267
9,2020/1/24 0:00,7487,6228
10,2020/1/25 0:00,6813,6257
11,2020/1/26 0:00,6228,8399
12,2020/1/27 0:00,6228,7585
13,2020/1/28 0:00,6247,6813
14,2020/1/29 0:00,6299,6614
15,2020/1/30 0:00,6228,6267
16,2020/1/31 0:00,6316,6307
17,2020/2/1 0:00,6654,6297
18,2020/2/2 0:00,6961,6654
19,2020/2/3 0:00,7585,6297
20,2020/2/4 0:00,6237,6267
21,2020/2/5 0:00,6316,6316
22,2020/2/6 0:00,6316,6710
23,2020/2/7 0:00,9291,7704
24,2020/2/8 0:00,10184,6297
25,2020/2/9 0:00,6614,6654
26,2020/2/10 0:00,6316,8201
27,2020/2/11 0:00,6654,10213
28,2020/2/12 0:00,6277,7704
29,2020/2/13 0:00,6228,7487
30,2020/2/14 0:00,7704,7487
31,2020/2/15 0:00,8399,7585
32,2020/2/16 0:00,6257,9103
33,2020/2/17 0:00,8201,8775
34,2020/2/18 0:00,6267,8201
35,2020/2/19 0:00,6267,7894
36,2020/2/20 0:00,8399,7704
37,2020/2/21 0:00,14448,8399
38,2020/2/22 0:00,12069,6316
39,2020/2/23 0:00,6267,8667
40,2020/2/24 0:00,8667,14537
41,2020/2/25 0:00,6228,8399
42,2020/2/26 0:00,6228,6673
43,2020/2/27 0:00,6247,6862
44,2020/2/28 0:00,6316,6862
45,2020/2/29 0:00,6247,6862
46,2020/3/1 0:00,6316,8508
47,2020/3/2 0:00,8160,8399
48,2020/3/3 0:00,7704,6307
49,2020/3/4 0:00,6257,7585
50,2020/3/5 0:00,6299,7704
51,2020/3/6 0:00,6267,8201
52,2020/3/7 0:00,6237,7293
53,2020/3/8 0:00,6247,8201
54,2020/3/9 0:00,6247,6316
55,2020/3/10 0:00,6228,6316
56,2020/3/11 0:00,6228,6228
57,2020/3/12 0:00,6247,6813
58,2020/3/13 0:00,9103,8201
59,2020/3/14 0:00,6247,6257
60,2020/3/15 0:00,8201,9103
61,2020/3/16 0:00,6247,8092
62,2020/3/17 0:00,6247,6316
63,2020/3/18 0:00,6316,6237
64,2020/3/19 0:00,15777,6792
65,2020/3/20 0:00,11930,8399
66,2020/3/21 0:00,8399,8399
67,2020/3/22 0:00,6813,9291
68,2020/3/23 0:00,6981,9132
69,2020/3/24 0:00,6813,8240
70,2020/3/25 0:00,6813,8618
71,2020/3/26 0:00,8399,8399
72,2020/3/27 0:00,10299,9291
73,2020/3/28 0:00,8399,9291
74,2020/3/29 0:00,11741,13814
75,2020/3/30 0:00,9810,9103
76,2020/3/31 0:00,8667,10363
77,2020/4/1 0:00,8597,10213
78,2020/4/2 0:00,8667,11539
79,2020/4/3 0:00,9132,10213
80,2020/4/4 0:00,8667,9334
81,2020/4/5 0:00,8891,8597
82,2020/4/6 0:00,8667,9222
83,2020/4/7 0:00,10105,9441
84,2020/4/8 0:00,8201,8201
85,2020/4/9 0:00,10270,8667
86,2020/4/10 0:00,14448,9132
87,2020/4/11 0:00,8667,9222
88,2020/4/12 0:00,9026,10105
89,2020/4/13 0:00,9026,8667
90,2020/4/14 0:00,8597,8866
91,2020/4/15 0:00,25634,8422
92,2020/4/16 0:00,8667,8667
93,2020/4/17 0:00,11117,9103
94,2020/4/18 0:00,10213,9103
95,2020/4/19 0:00,8597,11117
96,2020/4/20 0:00,9265,9334
97,2020/4/21 0:00,8597,9222
98,2020/4/22 0:00,8092,8248
99,2020/4/23 0:00,8876,8866
100,2020/4/24 0:00,17762,8597
101,2020/4/25 0:00,26699,9132
102,2020/4/26 0:00,19029,13645
103,2020/4/27 0:00,19415,13814
104,2020/4/28 0:00,19029,13764
105,2020/4/29 0:00,19029,13764
106,2020/4/30 0:00,19029,14233
107,2020/5/1 0:00,19029,14007
108,2020/5/2 0:00,19415,13814
109,2020/5/3 0:00,13887,13887
110,2020/5/4 0:00,11379,19415
111,2020/5/5 0:00,11117,19317
112,2020/5/6 0:00,11390,21122
113,2020/5/7 0:00,11117,18586
114,2020/5/8 0:00,13814,25782
115,2020/5/9 0:00,13645,21985
116,2020/5/10 0:00,14027,17118
117,2020/5/11 0:00,8865,8864
118,2020/5/12 0:00,8919,8597
119,2020/5/13 0:00,8248,7863
120,2020/5/14 0:00,8667,8919
121,2020/5/15 0:00,13436,9358
122,2020/5/16 0:00,8597,9727
123,2020/5/17 0:00,8919,8865
124,2020/5/18 0:00,8717,8717
125,2020/5/19 0:00,9193,8597
126,2020/5/20 0:00,8248,8398
127,2020/5/21 0:00,8670,9222
128,2020/5/22 0:00,9661,9441
129,2020/5/23 0:00,8597,9103
130,2020/5/24 0:00,8597,8597
131,2020/5/25 0:00,8597,8597
132,2020/5/26 0:00,9222,8670
133,2020/5/27 0:00,8716,8716
134,2020/5/28 0:00,8667,9265
135,2020/5/29 0:00,9504,9334
136,2020/5/30 0:00,8876,9344
137,2020/5/31 0:00,8597,8597
138,2020/6/1 0:00,8597,9222
139,2020/6/2 0:00,8597,9265
140,2020/6/3 0:00,8160,8092
141,2020/6/4 0:00,8865,9222
142,2020/6/5 0:00,9103,9185
143,2020/6/6 0:00,8597,9766
144,2020/6/7 0:00,8667,9222
145,2020/6/8 0:00,8667,8864
146,2020/6/9 0:00,8667,8349
147,2020/6/10 0:00,8092,8092
148,2020/6/11 0:00,8667,8597
149,2020/6/12 0:00,10591,9330
150,2020/6/13 0:00,10622,9727
151,2020/6/14 0:00,8866,8866
152,2020/6/15 0:00,8717,8864
153,2020/6/16 0:00,8597,8667
154,2020/6/17 0:00,8092,8092
155,2020/6/18 0:00,8597,8667
156,2020/6/19 0:00,12174,9132
157,2020/6/20 0:00,8866,9145
158,2020/6/21 0:00,8597,11883
159,2020/6/22 0:00,8815,8875
160,2020/6/23 0:00,8667,8597
161,2020/6/24 0:00,8422,8450
162,2020/6/25 0:00,8597,8637
163,2020/6/26 0:00,10444,9330
164,2020/6/27 0:00,8597,9358
165,2020/6/28 0:00,8667,8866
166,2020/6/29 0:00,8667,8597
167,2020/6/30 0:00,8667,8667
168,2020/7/1 0:00,8160,8160
169,2020/7/2 0:00,8667,9222
170,2020/7/3 0:00,10363,9132
171,2020/7/4 0:00,9172,9103
172,2020/7/5 0:00,8597,9004
173,2020/7/6 0:00,9004,8670
174,2020/7/7 0:00,9183,9265
175,2020/7/8 0:00,8129,8092
176,2020/7/9 0:00,8632,9222
177,2020/7/10 0:00,9563,9583
178,2020/7/11 0:00,9172,9103
179,2020/7/12 0:00,8597,8597
180,2020/7/13 0:00,9222,9222
181,2020/7/14 0:00,8597,8632
182,2020/7/15 0:00,8751,8716
183,2020/7/16 0:00,9222,9165
184,2020/7/17 0:00,9667,9529
185,2020/7/18 0:00,9149,11602
186,2020/7/19 0:00,9300,9056
187,2020/7/20 0:00,8597,8670
188,2020/7/21 0:00,8597,9123
189,2020/7/22 0:00,13216,8160
190,2020/7/23 0:00,24964,26727
191,2020/7/24 0:00,24818,26756
192,2020/7/25 0:00,26885,26699
193,2020/7/26 0:00,23952,26727
194,2020/7/27 0:00,26856,26640
195,2020/7/28 0:00,26914,22916
196,2020/7/29 0:00,28498,28827
197,2020/7/30 0:00,28498,26827
198,2020/7/31 0:00,26885,22340
199,2020/8/1 0:00,26896,25941
200,2020/8/2 0:00,28959,28959
